# Part	Description				Flags	Pins
AMDAC-08	8-Bit High Speed Multiplying D/A Converter
AM1408	8-Bit Multiplying D/A Converter
AM1458	Dual Frequency Compensated Operational Amplifier
AM1488	Quad RS-232C Line Driver
AM1489	Quad RS-232C Line Receiver
AM1489A	Quad RS-232C Line Receiver
AM1500	Dual Precision Voltage Comparator
AM1501	Dual Operational Amplifier
AM1508	8-Bit Multiplying D/A Converter
AM1558	Dual Frequency Compensated Operational Amplifier
AM26LS31	Quad RS-422 High Speed Differential Line Driver
AM26LS32	Quad RS-422 and RS-423 Differential Line Receiver
AM26LS33	Quad Differential Line Receiver
AM26S10	Quad Bus Transceiver
AM26S11	Quad Bus Transceiver
AM26S12	Quad Bus Transceiver
AM26S12A	Quad Bus Transceiver
AM2614	Quad Single-Ended Line Driver
AM2615	Dual Line Receiver
AM2616	Quad MI L-188C and RS-232C Line Driver
AM2617	Quad RS-232C Line Receiver
AM2905	Quad Two-Input QC Bus Transceiver with Three-State Receiver
AM2906	Quad Two-Input QC Bus Transceiver with Parity
AM2907	Quad Bus Transceiver with Three-State Receiver and Parity
AM2915A	Quad Three-State Bus Transceiver with Interface Logic
AM2916A	Quad Three-State Bus Transceiver with Interface Logic
AM2917A	Quad Three-State Bus Transceiver with Interface Logic
AM592	Differential Video Amplifier
AM685	Voltage Comparator
AM686	Voltage Comparator
AM687	Dual Voltage Comparator
DAC-08	8-Bit High Speed Multiplying D/ A Converter
DM7820	Dual Differential Line Receiver
DM7820A	Dual Differential Line Receiver
DM7830	Dual Differential Line Driver
DM7831	Three-State Line Driver
DM7832	Three-State Line Driver
DM8820	Dual Differential Line Receiver
DM8820A	Dual Differential Line Receiver
DM8830	Dual Differential Line Driver
DM8831	Three-State Line Driver
DM8832	Three-State Line Driver
DS0056	5MHz Two-Phase MOS Clock Driver
DS1603	Dual Line Receiver
DS3603	Dual Line Receiver
DS3604	Dual Sense Amplifier for MOS Memories
DS7838	Quad Unified Bus Transceiver
DS8838	Quad Unified Bus Transceiver
LF111	JFET Input Voltage Comparator
LF155	JFET Input Operational Amplifier
LF155A	JFET Input Operational Amplifier
LF156	JFET Input Operational Amplifier
LF156A	JFET Input Operational Amplifier
LF157	JFET Input Operational Amplifier
LF157A	JFET Input Operational Amplifier
LF211	JFET Input Voltage Comparator
LF255	JFET Input Operational Amplifier
LF255A	JFET Input Operational Amplifier
LF256	JFET Input Operational Amplifier
LF256A	JFET Input Operational Amplifier
LF257	JFET Input Operational Amplifier
LF257A	JFET Input Operational Amplifier
LF311	JFET Input Voltage Comparator
LF355	JFET Input Operational Amplifier
LF355A	JFET Input Operational Amplifier
LF356	J~ET Input Operational Amplifier
LF356A	JFET Input Operational Amplifier
LF357	JFET Input Operational Amplifier
LF357A	JFET Input Operational Amplifier
LH2101A	Dual Operational Amplifier
LH2111	Dual Precision Voltage Comparator
LH2201	Dual Operational Amplifier
LH2201A	Dual Operational Amplifier
LH2211	Dual Precision Voltage Comparator
LH2301A	Dual Operational Amplifier
LH2311	Dual Precision Voltage Comparator
LM101	Operational Amplifier
LM101A	Operational Amplifier
LM102	Voltage Follower
LM105	Voltage Regulator
LM106	Voltage Comparator/Buffer
LM107	Frequency Compensated Operational Amplifier
LM108	Operational Amplifier
LM108A	Operational Amplifier
LM110	Voltage Follower
LM111	Precision Voltage Comparator
LM112	Compensated High-Performance Operational Amplifier
LM118	High-Speed Operational Amplifier
LM119	Dual Voltage Comparator
LM124	Quad Operational Amplifier
LM124A	Quad Operational Amplifier
LM139	Low Offset Voltage Quad Comparator
LM139A	Low Offset Voltage Quad Comparator
LM148	Quad 741 Operational Amplifier
LM149	Quad 741 Operational Amplifier
LM201	Operational Amplifier
LM201A	Operational Amplifier
LM202	Voltage Follower
LM205	Voltage Regulator
LM206	Voltage Comparaotr/Buffer
LM207	Frequency Compensated Operational Amplifier
LM208	Operational Amplifier
LM208A	Operational Amplifier
LM210	Voltage Follower
LM211	Precision Voltage Comparator
LM212	Compensated, High-Performance Operational Amplifier
LM216	Compensated, High-Performance Operational Amplifier
LM216A	Compensated, High-Performance Operational Amplifier
LM218	High-Speed Operational Amplifier
LM219	Dual Voltage Comparator
LM224	Quad Operational Amplifier
LM224A	Quad Operational Amplifier
LM239	Low Offset Voltage Quad Comparator
LM239A	Low Offset Voltage Quad Comparator
LM248	Quad 741 Operational Amplifier
LM249	Quad 741 Operational Amplifier
LM301	Operational' Amplifier
LM301A	Operational Amplifier
LM302	Voltage Follower
LM305	Voltage Regulator
LM305A	Voltage Regulator
LM306	Voltage Comparator/Buffer
LM307	Frequency Compensated Operational Amplifier
LM308	Operational Amplifier
LM308A	Operational Amplifier
LM310	Voltage Follower
LM311	Precision Voltage Comparator
LM312	Compensated, High-Performance Operational Amplifier
LM316	Compensated, High-Performance Operational Amplifier
LM316A	Compensated, High-Performance Operational Amplifier
LM318	High-Speed Operational Amplifier
LM319	Dual Voltage Comparator
LM324	Quad Operational Amplifier
LM324A	Quad Operational Amplifier
LM339	Low Offset Voltage Quad Comparator
LM339A	Low Offset Voltage Quad Comparator
LM348	Quad 741 Operational Amplifier
LM349	Quad 741 Operational Amplifier
MC1488	Quad RS-232C Line Driver
M01489	Quad RS-232C Line Receiver
MC1489A	Quad RS-232C Line Receiver
MH0026	5MHz Two-Phase MOS Clock Driver
NE555	Precision Timer
NE556	Dual Precision Timer
