DS1000,K,G	5-Tap SilIcon Delay Line		14
DS1000M,H,Z	5-Tap SilIcon Delay Line		8
DS1000S	5-Tap SilIcon Delay Line		16
DS1003	4-Tap Silicon Delay Une for RISC Applications		8,14
DS1005	5-Tap Silicon Delay Line		8,14,16
DS1007	7-in-1 Silicon Delay Line		16
DS1010	10-Tap Silicon Delay Une		14,16
DS1012	2-in-1 Sub-Miniature Silicon Delay Line with Logic		8
DS1013	3-in-1 Silicon Delay Line		8,14
DS102O	Programmable 8-Bit Silicon Delay Une		16
DS104O	Programmable.one-Shot Pulse Generator		8
DS1200	Serial RAM Chip		10,16
DS1202,S	Serial Timekeeping Chip		8,16
DS1203S-B1	MicroPower Receiver Chip		8
DS1205S	MultiKey Chip		16
DS1206	Phantom Serial Interface Chip		14,16
DS1209S-B1	Wireless to 3-Wire Converter Chip		16
DS1210	Nonvolatile Controller Chip		8,16
DS1211	Nonvolatile Controller X 8 Chip		20
DS1212	Nonvolatile Controller X 16 Chip		28
DS1215	Phantom Time Chip		16
DS1218	Nonvolatile Controller		8,16
DS122OAB,AD	16K Nonvolatile SRAM		24
DS1220Y	16K Nonvolatile SRAM		24
DS1221,S	Nonvolatile Controller x 4 Chip		16
DS1222	BankSwitch Chip		14,16
DS1225	64K Nonvolatile SRAM		28
DS1227	KickStarter Chip		20
DS1228	+5V Powered Dual RS-232 Transmitter/Receiver		16
DS1229	+5V Powered Triple RS-232 Transmitter/Receiver		20
DS1230Y,AB	256K Nonvolatile SRAM		28
DS1231,S	Power MonitOr Chip		8,16
DS1232	MicroMonitor Chip		8,16
DS1232LP,LPS	Low Power Micro Monitor Chip		8,16
DS1233	5V EconoReset		3
DS1233A	3.3V EconoReset		3
DS1234	Conditional Nonvolatile Controller Chip		14,16
DS1236	Micro Manager Chip		16
DS1237	DRAM Nonvolatizer Chip		16
DS1238	Micro Manager Chip		16
DS1239	Micro Manager Chip		16
DS1243Y	64K NV SRAM with Phantom Clock		28
DS1244Y	256K NV SRAM with Phantom Clock		28
DS1245EE	1M Write-Protected NV SRAM		32
DS1245Y/AB	1024K Nonvolatile SRAM		32
DS1248Y	1024K NV SRAM with Phantom Clock		32
DS1259	Battery Manager Chip		16
DS1260	5mart Battery		16
DS1262	Serial DRAM Nonvolatizer Chip		28
DS1267	Dual Digital Potentiometer Chip		14
DS1275	Line-Powered RS-232 Transceiver Chip		8
DS1277	8-Channel Crosspoint Switch		24
DS1280	3-Wire to Bytewide Converter Chip		44,80
DS1283	Watchdog Timekeeper Chip		28
DS1284	Watchdog Timekeeper Chip		28
DS1285,Q	Real Time Clock		24,28
DS1286	Watchdog Timekeeper		28
DS1287,A	Real Time Clock		24
DS12887,A	Real Time Clock		24
DS1336	Afterburner Chip		16
DS1360	Phantom DAA Chip		20
DS1380,S	RAMport		24
DS1381	NV RAMport		24
DS1385	RAMified Real Time Clock 4K X 8		24
DS1386	RAMified Watch Timekeeper 8K x 8		32
DS1387	RAMified Real Time Clock 4K X 8		32
DS1395	RAMified Real Time Clock; COMPAQ 4K x 8		24,28
DS1397	RAMified Real Time Clock; COMPAQ 4K x 8		28
DS1485	RAMified Real Time Clock 8K X 8		24,28
DS1486	RAMified Watchdog Timekeeper 128K x 8		32
DS1488	RAMified Real Time Clock 8K X 8		24
DS1494L-F5	Time-In-a-Can		3
DS1495	RAMified Real Time Clock; COMPAQ 8K x 8		24,28
DS1497	RAMified Real Time Clock; COMPAQ 8K x 8		24
DS1585	Serialized Real Time Clocks 8K x 8		28
DS1587	Serialized Real Time Clocks 8K x 8		28
DS1602	Elapsed Time Counter		8
DS1603	Elapsed Time Counter Module		7
DS1609	Dual Port RAM		24
DS1610	Partitioned NV Controller		16
DS1613C	Partitioned 5martSocket 256K
DS16130	Partitioned 5martSocket 1M
DS1630Y,AB	Partitioned 256K NV 5RAM
DS1632	PC Power Fail and Reset Controller		16
DS1633A,B,C,D,E	High Speed Battery Recharger		3
DS1640,C	Personal Computer Power FET		16
DS1642	Nonvolatile Timekeeping RAM		28
DS1643	Nonvolatile Timekeeping RAM		28
DS1645Y,AB	Partitioned 1024K NV 5RAM
DS1645EE	Partitioned 1024K NV 5RAM
DS1650Y,AB	Partitioned 4096K NV 5RAM
DS1651	3-Code Lock (Use w/DS1652 Key Match Memory)		8
DS1652,B	KeyCode Memory		8		8
DS1653	DS1653 4-Code Lock (Use w/DS1652 Key Match Memory)		8
DS1666,S	Audio Digital Resistor		14,16
DS1667	Digital Resistor with OP AMP		20
DS1668/DS1669/DS1669S	Dallastat™ Electronic Digital Rheostat		8
DS1990	Touch Serial Number
DS1991	Touch MultiKey
DS1992/DS1993/DS1994	Time-In-a-Can
DS2009	512x9 FIFO Chip		28,32
DS2010	1024x9 FIFO Chip		28,32
DS2011	2048x9 FIFO Chip		28,32
DS2012	4096x9 FIFO Chip		28,32
DS2013	8192x9 FIFO Chip		28,32
DS2015	Quad Port serial RAM Chip		18,20
DS2016,S	2Kx8 3V Operation Static RAM		28,20
DS2064,S	8Kx8 3V Operation Static RAM		24
DS2107S	SCSI Terminator		16
DS2130	Voice Messaging Processor		28
DS2132	Digital Answering Machine Processor		28
DS2141	T1/ISDN Primary Rate Controller		40,44
DS2145/DS2146	T1/CEPT Medium Haul PCM Line Interface		28
DS2165	16/24132Kbps ADPCM Processor		24,28
DS2167/DS2168	ADPCM Processor		24,28
DS2175	T1/CEPT Elastic Store		16
DS2176	T1 Elastic Store with Signalling Buffer		24,28
DS2180A	T1/ISDN Primary Rate Transceiver		40,44
DS2181A	CEPT Primary Rate Transceiver		40,44
DS2182	T1 Line Monitor		28
DS2186	T1/CEPT Transmit Line Interface		20
DS2187	T1/CEPT Receive Line Interface		18,20
DS2188	T1/CEPT Jitter Attenuator		16
DS2190-003	T1 Network Interface Unit		42
DS2223	EconoRAM 256 bit 1-wire SRAM		3
DS2224	EconoRAM 32-bit ROM 224-bit 1-wire SRAM		3
DS2257,S	32K x 8 3V Operation Static RAM		28
DS2400	Silicon Serial Number (48bit + CRC) (1-wire)		3
DS2404	EconoRAM Time Chip (4K SRAM)		16
DS2569	Touch/Proximity Memory Chip		16
DS5000	Micro Chip microcontroller		80
DS5001FP	128K Micro Chip microcontroller		80
DS5002FP	Secure Micro Chip		80
DS5311FP	68HC11 Softener Chip		80
DS534OFP	V40 Softener Chip		80
