µAF111	FET-Input Voltage Comparator
µAF311	FET-Input Voltage Comparator
µAF198	Monolithic Sample and Hold
µAF298	Monolithic Sample and Hold
µAF398/DAC-08	Monolithic Sample and Hold
µA0801	8-Bit High-Speed Multiplying D/A Converter
µA0802/MC1408	8-Bit Multiplying D/A Converter
µA111	Voltage Comparator
µA311	Voltage Comparator
µA139	Low-Power, Low-Offset Quad Voltage Comparator
µA139A	Low-Power, Low-Offset Quad Voltage Comparator
µA1488	Quad EIA RS-232C Line Driver
µA1489	Quad EIA RS-232C Line Receiver
µA1489A	Quad EIA RS-232C Line Receiver
µA2240	Programmable Timer/Counter
µA239	Low-Power, Low-Offset Quad Voltage Comparator
µA239A	Low-Power, Low-Offset Quad Voltage Comparator
µA2901	Low-Power, Low-Offset Quad Voltage Comparator
µA3018	Matched Monolithic Transistor Array
µA3018A	Matched Monolithic Transistor Array
µA3019	Diode Array
µA3026	Transistor Array
µA3036	Transistor Array
µA3039	Diode Array
µA3045	Transistor Array
µA3046	Transistor Array
µA3054	Transistor Array
µA3086	Transistor Array
µA3302	Low-Power, Low-Offset Quad Voltage Comparator
µA339	Low-Power, Low-Offset Quad Voltage Comparator
µA339A	Low-Power, Low-Offset Quad Voltage Comparator
µA4151	VVoltage-to-Frequency Converter
µA555	Single Timing Circuit
µA556	Dual Timing Circuit
µA710	High-Speed Differential Comparator
µA710C	High-Speed Differential Comparator
µA711	Dual High-Speed Differential Comparator
µA711C	Dual High-Speed Differential Comparator
µA7151	Voltage-to-Frequency Converter with Op Amp
µA726	Temperature-Controlled Differential Pair
µA734	Precision Voltage Comparator
µA7391	DC Motor-Speed Control
µA7392	DC Motor-Speed Control
µA760	High-Speed Differential Comparator
µA8T13	Dual Single-Ended Line Driver
µA8T14	Triple Line Receiver
µA8T23	Dual IBM 360/370 1/0 Single-Ended Line Driver
µA8T24	Triple IBM 360/370 1/0 Line Receiver
µA8T26A	Quad 3-State Inverting 8us Transceiver
µA8T28	Quad 3-State Non-Inverting 8us Transceiver
µA9706	8-Channel, 12-8it, µP Compatible DI A Converter
µA9706A	7-Channel, 12-8it, µP Compatible DI A Converter
µA9708	6-Channel, 8-8it, µP Compatible AID Converter Subsystem
55107A	Dual General-Purpose Line Receiver
551078	Dual General-Purpose Line Receiver
55108A	Dual General-Purpose Line Receiver
551088	Dual General-Purpose Line Receiver
55110A	Dual General-Purpose Line Driver
55122	Triple-Line Receiver
55S20	Dual Schottky ±2.5 mV Sense Amp with Complementary Outputs
55S24	Dual Schottky ±2.5 mV Sense Amp
55S234	Dual Schottky ±2.5 mV Sense Amp
55232	Dual Sense Amp with Open Collector Outputs
55238	Dual Sense Amp with Preamplifier Test Points
5528	Dual Sense Amp with Preamplifier Test Points
55325	Dual Core Memory Drivers
55326	Quad Positive OR Sink Core Memory Drivers
55327	Quad Core Memory Switches
55450A	Dual Positive AND Peripheral Driver
554508	Dual High-Speed Positive AND Peripheral Driver
55451A	Dual Positive AND Peripheral Driver
554518	Dual High-Speed Positive AND Peripheral Driver
55452A	Dual Positive NAND Peripheral Driver
554528	Dual High-Speed Positive NAND Peripheral Driver
55453A	Dual OR Positive Peripheral Driver
554538	Dual High-Speed OR Positive Peripheral Driver
55454A	Dual Positive NOR Peripheral Driver
554548	Dual High-Speed Positive NOR Peripheral Driver
55460	Dual High-Voltage Positive AND Peripheral Driver
55461	Dual High-Voltage Positive ANd Peripheral Driver
