# Part	Description				Flags	Pins
74135	Quad XOR/XNOR gate, two inputs to select logic type		16
2N6545	High voltage NPN transistor, 2N6545	TO-3	3
CA3096,A,E,AE	N-P-N/P-N-P Transistor-Array IC
6N138/6N139/MCC670/MCC671	High Gain Split-Darlington Opto-isolator ~ 1µS	DIP	8
YM3014B/Y3014B	Serial Input Floating D/A Converter (DAC-SS)	Yamaha	8
YM3812	FM OPERATOR TYPE-LII (OPL II) 5V	CMOS,PDIP,Yamaha	24
AAA2801P-06	256Kx1 Static column mode RAM - 60ns 4.4ms	CMOS,PDIP,NMBS	8
AAA2801P-07	256Kx1 Static column mode RAM - 70ns 4.4ms	CMOS,PDIP,NMBS	8
AAA2801P-08	256Kx1 Static column mode RAM - 80ns 4.4ms	CMOS,PDIP,NMBS	8
XR558CP	Quad Timer	Exar	16
D416C	NEC 4116 16Kx1 RAM chip	NEC	8
ULQ2801/2802/2803/2804	8-Darlington transistor array	STM	18
PT2395	Princetown digital delay (ext DRAM)		40
PT2396	Princetown digital delay (48Kb) 2mhz CLK Reqd		24
PT2399	Princetown digital delay (44kb, int timer)		16
PC817	1-channel IRED optocoupler		4
PC827	2-channel IRED optocoupler		8
PC837	3-channel IRED optocoupler		12
PC847	4-channel IRED optocoupler		16
TDA2822	Dual Power Amplifier		8
TDA2030	14W Hi-Fi amplifier		5
7400	Quad 2 Input NAND Gate		14
7401	Quad 2 Input NAND Gate (OC)		14
7402	Quad 2 Input Positive NOR Gate		14
7403	Quad 2 Input Positive NAND Gate		14
7404	Hex Inverter		14
7405	Hex Inverter (0C)		14
7406	Hex Inverter Buffer/Driver (OC)		14
7407	30V 40mA Hex Buffer Driver (0C)		14
7408	Quad 2 Input Positive AND Gate		14
7409	Quad 2 Input Positive AND Gate (0C)		14
7410	Triple 3 Input Positive NAND Gate		14
7411	Triple 3 Input Positive AND Gate		14
7412	Triple 3-Input Nand (Open Collector)		14
7413	Dual 4-Input Schmitt Trig. Nand		14
7414	Hex Schmitt Trigger		14
7416	Hex Inverter Buffer/Driver (OC)		14
7417	15V 40mA Hex Buffer/Driver (OC)		14
7419	Hex Schmitt-Trigger Inverter		14
7420	Dual 4 Input Positive NAND Gate		14
7421	Dual 4 Input Positive AND Gate		14
7422	Dual 4-Input Nand Gate (Open Collector)		14
7423	Expandable Dual 4-Input Nor Gate		16
7425	Dual 4 Input Positive NOR Gate		14
7426	Quad 2 Input NAND Gate (OC)		14
7427	Triple 3 Input NOR Gate		14
7428	Quad 2 Input NOR Buffer		14
7430	8 Input Positive NAND Gate		14
7431	Delay Element		16
