MK5025	CCITT X.25 Link Level Controller
MK68590	LANCE, IEEE 802.3 Ethernet Controller
MK68590	LANCE Technical Manual
MK68590	Application Note: Interfacing LANCE to MK68000
MK68591/2	IEEE 802.3 Ethernet Serial Interface Adaptor
MK5030	1M Bit/Sec Starlan Hub
MK5032	Starlan Controller (1 - 10 Mbps)
MK5033	Generic Manchester Encoder/Decoder
MK5035	Starlan Station (Use with MK68590, 82586 at 6 & 8 MHz)
MK50351	Starlan Station (Use with MK5032, 82588 at 8 & 10 MHz)
TSG7515	Bell 212A MODEM - 1200, 600 BPS DPSK; 300 BPS FSK (Bell 212A, Bell 103, & V.22A1B)
TEA7868	MODEM to Telephone Line Direct Interface
TS7524	2400 bps Chip Set - (V.22 Bis, V.22, Bell 2121V.23, V.21, Bell 103)
TS68930	DSP High Performance, 25 MHz
TS68931	DSP ROM-less version of TS68930
TS68950	Analog Front End Transmitter
TS68951	Analog Front End Receiver
TS68952	Analog Front End Clock Generator
TS5070	Two port assignments and 6 interface latches
TS5071	One port assignment and 5 interface latches
ETC5054	µ-Law, Single Channel
ETC5064	µ-aw, Single Channel with Power Amplifiers
ETC5057	A-Law, Single Channel
ETC5067	A-Law, Single Channel with Power Amplifiers
MK5116	µ-Law, Serial Output
MK5151	µ-Law, Serial Output with AB signalling
MK5156	A-Law, Serial Output
ETC5040	CMOS Single channel PCM filter
TBD7711	Low Voltage SLIC
TDB7722	High Voltage SLIC
EFB73321	Trunc PCM Clock Recovery
MK5375	Ten Memory TonePulse™ switchable dialer
MK5376	Ten Memory TonePulse™ switchable dialer with extra
MK53761	Ten Memory TonePulse™ Dialer with Continuous Tone
MK53762	Same as MK53761, with Single Key Redial of the Ten Memories
MK53763	13 Memory Repertory World Dialer™ with Single Key Autodialing
MK5370	Low cost TonePulse™ Dialer for Low End Apps
MK5371	TonePulse™ with Redial
MK53721	TonePulse™ World Dialer™ with Redial
MK53731	TonePulse™ with 28 Digit Redial and Continuous Tone
MK5380	Industry Standard DTMF Generator
TEA3046	2 to 4 Wire Conversion and DTMF Generator
TEA7531	Loudspeaker Amplifier
TS8306	6-Bit Flash ADC, 20 MHz
TS8308	8-Bit Flash ADC, 20 MHz
TS8328	8-Bit Flash ADC (min. version of TS8308)
MK36000N-4	64K-Bit 8Kx8 Read-Only Memory 250ns/375ns   	P,J,N,DIP	24
MK36000N-5	64K-Bit 8Kx8 Read-Only Memory 300ns/450ns	P,J,N,DIP	24
MK37000N-5 	64K-bit 8Kx8 MOS ROM 300ns/450ns	P,J,N,DIP	28
MK37000N-4 	64K-bit 8Kx8 MOS ROM 250ns/375ns	P,J,N,DI	P	28
MK38000N-25	256K-Bit 32Kx8 Read-Only Memory 250ns/250ns	P,N,DIP	28
MK4027N-1	4Kx1-bit dynamic RAM 120ns/320ns	J,N,DIP	16
MK4027N-2	4Kx1-bit dynamic RAM 150ns/320ns	J,N,DIP	16
MK4027N-3	4Kx1-bit dynamic RAM 200ns/375ns	J,N,DIP	16
MK4027N-4	4Kx1-bit dynamic RAM 250ns/380ns	J,N,DIP	16
MK4116N-2	16Kx1-bit dynamic RAM 150ns/320ns	J,N,E,DIP	16
MK4116N-3	16Kx1-bit dynamic RAM 200ns/375ns	J,N,E,DIP	16
MK4116N-4	16Kx1-bit dynamic RAM 250ns/380ns	J,N,E,DIP	16
MK4516N-2	16Kx1-bit dynamic RAM 150ns/320ns	J,N,E,DIP	16
MK4516N-10	16Kx1-bit dynamic RAM 100ns/235ns	J,N,DIP	16
MK4516N-12	16Kx1-bit dynamic RAM 120ns/270ns	J,N,DIP	16
MK4516N-15	16Kx1-bit dynamic RAM 150ns/320ns	J,N,DIP	16
MK4528D-15	128Kx1-bit dynamic RAM 150ns/260ns	DIP	18
MK4528D-20	128Kx1-bit dynamic RAM 200ns/345ns	DIP	18
MK4528D-25	128Kx1-bit dynamic RAM 250ns/425ns	DIP	18
MK4332D-3	32Kx1-bit dynamic RAM 200ns/370ns	DIP	18
MK4564N-15	64Kx1-bit dynamic RAM 150ns/260ns	P,J,N,DIP	16
MK4564N-20	64Kx1-bit dynamic RAM 200ns/345ns	P,J,N,DIP	16
MK4564N-25	64Kx1-bit dynamic RAM 250ns/425ns	P,J,N,DIP	16
MK4104N-3/MK4104P-33 	4Kx1-bit static RAM 200ns/310ns	J,N,E,DIP	18
MK4104N-4/MK4104P-34 	4Kx1-bit static RAM 250ns/385ns	J,N,E,DIP	18
