# Part	Description				Flags	Pins
LM1131A	Dual Dolby B-Type Noise Reduction Processor
LM1141	Dolby B-C Type Noise Reduction Processor
LM1818	Electronically Switched Audio Tape System
LM1837	Low Noise Preamplifier for Auto-reversing Tape Playback Systems
LM1875	20-Watt Power Audio Amplifier
LM1877	Dual Power Audio Amplifier
LM1894	Dynamic Noise Reduction System DNR
LM1895	Audio Power Amplifier
LM1896	Dual Power Audio Amplifier
LM1897	Low Noise Preamplifier for Tape Playback Systems
LM2002	8-Watt Audio Power Amplifier
LM2005	20-Watt Automotive Power Amplifier
LM2877	Dual 4-Watt Power Audio Amplifier
LM2878	Dual 5-Watt Power Audio Amplifier
LM2879	Dual 8-Watt Audio Amplifier
LMC835	Digital Controlled Graphic Equalizer
LMC1992/LMC1993	Computer Controlled Tone and Volume Circuits
LM1800	Phase-Locked Loop FM Stereo Demodulator
LM1863	AM Radio System for Electronically Tuned Radio
LM1865/LM19651/LM2065	Advanced FM IF System
LM1866	Low Voltage AM/FM Receiver
LM1868	AM/FM Radio System
LM1870	Stereo Demodulator with Blend
LM1871	RC Encoder/Transmitter
LM1872	Radio Control Receiver/Decoder
LM1884	TV Stereo Decoder
LM3089	FM Receiver IF System
LM3189	FM IF System
LM3361A	Low Voltage/Power Narrow Band FM IF System
LM3820	AM Radio System
LM4500A	High Fidelity FM Stereo Demodulator with Blend
TBA120S	IF Amplifier and Detector
LM592	Differential Video Amplifier
LM733/LM733C	Differential Video Amplifier
LM1044	Analog Video Switch
LM1201	Video Amplifier System
LM1203	RGB Video Amplifier System
LM1391	Phase-Locked Loop
LM1823	Video IF Amplifier/PLL Detection System
LM1880	No-Holds Vertical/Horizontal
LM1881	Video Sync Separator
LM1886	TV Video Matrix DtoA
LM1889	TV Video Modulator
LM2889	TV Video Modulator
LM122/LM322/LM2905/LM3905	Precision Timer
LM194/LM394	Super Match Pair
LM195/LM295/LM395	Ultra Reliable Power Transistors
LM555/LM555C	Timer
LM556/LM556C	Dual Timer
LM565/LM565C	Phase Locked Loop
LM566C	Voltage Controlled Oscillator
LM567/LM567C	Low Power Tone Decoder
LM903	Fluid Level Detector
LM1042	Fluid Level Detector
LM1211	Broadband Demodulator System
LM1596/LM1496	Balanced Modulator Demodulator
LM1801	Battery Operated Power Comparator
LM1812	Ultrasonic Transceiver
LM1815	Adaptive Sense Amplifier
LM1819	Air-Core Meter Driver
LM1830	Fluid Detector
LM1851	Ground Fault Interrupter
LM1893/LM2893	Biline Carrier Current Transceiver
LM19211	Amp Industrial Switch
LM1946	Over/Under Current Limit Diagnostic Circuits
LM1949	Injector Drive Controller
LM1951	Solid State 1 Amp Switch
LM1964	Sensor Interface Amplifier
LM2907/LM2917	Frequency to Voltage Converter
LM3045/LM3046/LM3086	Transistor Arrays
LM3146	High Voltage Transistor Array
LM3909	LED Flasher/Oscillator
LM3914	Dot/Bar Display Driver
LM3915	Dot/Bar Display Driver
LM3916	Dot/Bar Display Driver
LMC555	CMOS Timer
LMC567	Low Power Tone Decoder
LMC568	Low Power Phase-Locked Loop
ADC0800	8-Bit AID Converter
ADC0801	8-Bit µP Compatible AID Converters
ADC0802	8-Bit µP Compatible AID Converters
ADC0803	8-Bit µP Compatible AID Converters
ADC0804	8-Bit µP Compatible AID Converters
ADC0805	8-Bit µP Compatible AID Converters
ADC0808	8-Bit µP Compatible AID Converters with 8-Channel Multiplexer
ADC0809	8-Bit µP Compatible AID Converters with 8-Channel Multiplexer
ADC0811	8-Bit Serial I/O AID Converter with 11-Channel Multiplexer
ADC0816	8-Bit µP Compatible AID Converters with 16-Channel Multiplexer
ADC0817	8-Bit µP Compatible AID Converters with 16-Channel Multiplexer
ADC0819	8-Bit Serial I/O AID Converter with 19-Channel Multiplexer
ADC0820	8-Bit High Speed µP Compatible AID Converter with Track/Hold Function
ADC0829	µP Compatible 8-Bit AID with 11-Channel MUX/Digital Input
ADC0831	8-Bit Serial I/O AID Converters with Multiplexer Options
ADC0832	8-Bit Serial I/O AID Converters with Multiplexer Options
ADC0833	8-Bit Serial I/O AID Converter with 4-Channel Multiplexer
ADC0834	8-Bit Serial I/O AID Converters with Multiplexer Options
ADC0838	8-Bit Serial I/O AID Converters with Multiplexer Options
ADC0841	8-Bit µP Compatible AID Converter
ADC0844	8-Bit µP Compatible AID Converters with Multiplexer Options
ADC0848	8-Bit µP Compatible AID Converters with Multiplexer Options
ADC0852	Multiplexed Comparator with 8-Bit Reference Divider
ADC0854	Multiplexed Comparator with 8-Bit Reference Divider
ADC1001	1O-Bit µP Compatible AID Converters
ADC1005	10-Bit µP Compatible AI D Converters
ADC1021	1O-Bit µP Compatible AID Converters
ADC1025	1O-Bit µP Compatible AID Converters
ADC1205	12-Bit Plus Sign µP Compatible AID Converters
ADC1210	12-Bit CMOS AID Converters
ADC1211	12-Bit CMOS AID Converters
ADC1225	12-Bit Plus Sign µP Compatible AID Converters
ADC3511	3 1/2-Digit Microprocessor Compatible AID Converter
ADC3711	3 3/4-Digit Microprocessor Compatible AID Converter
ADD3501	3 1/2-Digit DVM with Multiplexed 7-Segment Output
ADD3701	3 3/4-Digit DVM with Multiplexed 7-Segment Output
AF100	Universal Active Filter
AF150	Universal Wideband Active Filter
AF151	Dual Universal Active Filter
AH0014	Dual DPST-TTTL/DTLD Compatible MOS Analog Switch
AH0014C	DPDT Dual DPST-TTTL/DTLD Compatible MOS Analog Switch
AH0015C	Quad SPST Dual DPST-TTTL/DTLD Compatible MOS Analog Switch
AH0019	Dual DPST-TTTL/DTLD Compatible MOS Analog Switch
AH0019C	Dual DPST-TTTL/DTLD Compatible MOS Analog Switch
AH5009	Monolithic Analog Current Switch
AH5010	Monolithic Analog Current Switch
AH5011	Monolithic Analog Current Switch
AH5012	Monolithic Analog Current Switch
AH5020C	Monolithic Analog Current Switch
CD4016C	Quad Bi-Lateral Switch
CD4051BC	Single 8-Channel Analog Multiplexer/Demultiplexer
CD4051BM	Single 8-Channel Analog Multiplexer/Demultiplexer
CD4052BC	Dual 8-Channel Analog Multiplexer/Demultiplexer
CD4052BM	Dual8-Channel Analog Multiplexer/Demultiplexer
CD4053BC	Triple 8-Channel Analog Multiplexer/Demultiplexer
CD4053BM	Triple 8-Channel Analog Multiplexer/Demultiplexer
CD4066BC	Quad Bi-Lateral Switch
CD4066BM	Quad Bi-Lateral Switch
CD4529BC	Dual 4-Channel or 8-Channel Analog Data Election
DAC0800	8-Bit Digital-to-Analog Converters
DAC0801	8-Bit Digital-to-Analog Converters
