# Part	Description				Flags	Pins
µPD41264	65,536 x 4-Bit Dual-Port Graphics Buffer
µPD42264	65,536 x 4-Bit Dual-Port Graphics Buffer
µPD42273	262,144 x 4-Bit Dual-Port Graphics Buffer
µPD42274	262,144 x 4-Bit Dual-Port Graphics Buffer
µPD42275	131,072 x 8-Bit Dual-Port Graphics Buffer
µPD42101	910 x 8-Bit Line Buffer for NTSC TV
µPD42102	1,135 x 8-Bit Line Buffer for PAL TV
µPD42505	5,048 x 8-Bit Line Buffer for Communications Systems
µPD42270	910 x 263 x 4-Bit NTSC Field Buffer
µPD42272	Picture-In-Picture Generator
µPD42532	32,768 x 8-Bit Bidirectional Data Buffer
µPD42601	1,048,576-Bit Silicon File
µPD43501	1,024-Channel Time Division Switch
µPD43608	Single-Chip Cache Subsystem
µPD71641	Cache Memory Controller
µPD72120	Advanced Graphics Display Controller
µPD72123	Advanced Graphics Display Controller II
µPD72185	Advanced Compression/Expansion Engine
µPD7220A	High-Performance Graphics Display Controller
MC-157	262,144 x 8-Bit Dynamic CMOS RAM Module
MC-41256A8	262,144 x 8-Bit Dynamic NMOS RAM Module
MC-421000A8	1,048,576 x 8-Bit Dynamic CMOS RAM.Module
MC-424100A8	4,194,304 x 8-Bit Dynamic CMOS RAM Module
MC-41256A9	262,144 x 9-Bit Dynamic NMOS RAM Module
MC-421000A9	1,048,576 x 9-Bit Dynamic CMOS RAM Module
MC-424100A9	4,194,304 x 9-Bit Dynamic CMOS RAM Module
MC-424256A36	262,144 x 36-Bit Dynamic RAM Module
MC-424256A36BH/FH	262,144 x 36-Bit Dynamic CMOS RAM Module
MC-424512A36	524,288 x 36-Bit Dynamic RAM Module
MC-424512A36BH/FH	524,288 x 36-Bit Dynamic CMOS RAM Module
MC-421000A36	1,048,576 x 36-Bit Dynamic CMOS RAM Module
MC-422000A36	2,097,152 x 36-Bit Dynamic CMOS RAM Module
µPD41256	   262,144 x 1-Bit Dynamic CMOS RAM
µPD41464	65,536 x 4-Bit Dynamic NMOS RAM
µPD421000	1,048,576 x 1-Bit Dynamic CMOS RAM
µPD421001	1,048,576 x 1-Bit Dynamic CMOS RAM
µPD421002	1,048,576 x 1-Bit Dynamic CMOS RAM
µPD424256	262,144 x 4-Bit Dynamic CMOS RAM
µPD424258	262,144 x 4-Bit Dynamic CMOS RAM
µPD424266	262,144 x 4-Bit Dynamic CMOS RAM
µPD424268	262,144 x 4-Bit Dynamic CMOS RAM
µPD424100	4,194,304 x 1-Bit Dynamic CMOS RAM
µPD424101	4,194,304 x 1-Bit Dynamic CMOS RAM
µPD424102	4,194,304 x 1-Bit Dynamic CMOS RAM
µPD424400	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424402	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424410	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424412	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424800	524,288 x 8-Bit Dynamic CMOS RAM

µPD424102	4,194,304 x 1-Bit Dynamic CMOS RAM
µPD424400	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424402	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424410	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424412	1,048,576 x 4-Bit Dynamic CMOS RAM
µPD424800	524,288 x 8-Bit Dynamic CMOS RAM
µPD46710	16,384 x 10-Bit x 2 Static BiCMOS RAM
µPD46741	8,192 x 20-Bit x 2 Static BiCMOS RAM
µPD4361	 65,536 x 1-Bit Static CMOS RAM
µPD4362	16,384 x 4-Bit Static CMOS RAM
µPD4363	16,384 x 4-Bit Static CMOS RAM
µPD43251	262,144 x 1-Bit Static CMOS RAM
µPD46251	262,144 x 1-Bit Static BiCMOS RAM
µPD43254	65,536 x 4-Bit Static CMOS RAM
µPD43256A	32,768 x 8-Bit Static CMOS RAM
µPD43256B	32,768 x 8-Bit Static CMOS RAM
µPD43258	32,768 x 8-Bit Static CMOS RAM
µPD431000	131,072 x 8-Bit Static CMOS RAM
µPD431000A	131,072 x 8-Bit Static CMOS RAM
µPD431001	1,048,576 x 1-Bit Static CMOS RAM
µPD431004	262,144 x 4-Bit Static CMOS RAM
µPB10422	256 x 4-Bit 10K ECL RAM
µPB10470	4,096 x 1-Bit 10K ECL RAM
µPB10474	1,024 x 4-Bit 10K ECL RAM
µPB10474A	1,024 x 4-Bit 10K ECL RAM
µPB10474E	1,024 x 4-Bit 10K ECL RAM
µP810480	16,384 x 1-Bit 10K ECL RAM
µP810484	4,096 x 4-Bit 10K ECL RAM
µPB10484A	4,096 x 4-Bit 10K ECL RAM
µPB10A484	4,096 x 4-Bit 10K ECL RAM
µPD10500	262,144 x 1-Bit 10K BiCMOS ECL RAM
µPD10504	65,536 x 4-Bit 10K BiCMOS ECL RAM
µPB100422	256 x 4-Bit 100K ECL RAM
µPB100470	4,096 x 1-Bit 100K ECL RAM
µPB100474	1,024 x 4-Bit 100K ECL RAM
µPB100474A	1,024 x 4-Bit 100K ECL RAM
µPB100474E	1,024 x 4-Bit 100K ECL RAM
µPB100480	16,384 x 1-Bit 100K ECL RAM
µPB100484	4,096 x 4-Bit 100K ECL RAM
µPB100484A	4,096 x 4-Bit 100K ECL RAM
µPB100A484	4,096 x 4-Bit 100K ECL RAM
µPD100500	262,144 x 1-Bit 100K BiCMOS ECL RAM
µPD100504	65,536 x 4-Bit 100K BiCMOS ECL RAM
µPD27HC65	8,192 x 8-Bit CMOS UV EPROM
µPD27C1000A	131,072 x 8-Bit CMOS UV EPROM
µPD27C10001A	131,072 x 8-Bit CMOS UV EPROM
µPD27C1024A	65,536 x 16-Bit CMOS UV EPROM
µPD27C2001	262,144 x 8-Bit CMOS UV EPROM
µPD27C4001	524,288 x 8-Bit CMOS UV EPROM
µPD28C04	512 x 8-Bit CMOS EEPROM
µPD28C05	512 x 8-Bit CMOS EEPROM
µPD28C64	8,192 x 8-Bit CMOS EEPROM
µPD28C256	32,768 x 8-Bit CMOS EEPROM
µPD23C1000A	131,072 x 8-Bit Mask-Programmable CMOS ROM
µPD23C1000EA	131,072 x 8-Bit Mask-Programmable CMOS ROM
µPD23C1001E	131,072 x 8-Bit Mask-Programmable CMOS ROM
µPD23C1010A	131,072 x 8-Bit Mask-Programmable CMOS ROM
µPD23C1024E	65,536 x 16-Bit Mask-Programmable CMOS ROM
µPD23C2000	2,097,152-Bit Mask-Programmable CMOS ROM
µPD23C2000A	2,097,152-Bit Mask-Programmable CMOS ROM
µPD23C2001	262,144 x 8-Bit Mask-Programmable CMOS ROM
µPD23C4000	4,194,304-Bit Mask-Programmable CMOS ROM
µPD23C4000A	4,194,304-Bit Mask-Programmable CMOS ROM
µPD23C4001E	524,288 x 8-Bit Mask-Programmable CMOS ROM
µPD23C8000	8,388,608-Bit Mask-Programmable CMOS ROM
µPD23C8001E	1,048,576 x 8-Bit Mask-Programmable CMOS ROM
µPD23C16000	16,777,216-Bit Mask-Programmable CMOS ROM
