RC709,A	High-Gain Operational Amplifiers
RM725	Instrumentation Operational Amplifier
RM741/RC741	Operational Amplifier
RM747/RC747	Dual General Purpose Operational Amplifier
RM748/RC748	Operational Amplifier
RC1437	Dual 709 High-Gain Operational Amplifiers
RM1437	Dual 709 High-Gain Operational Amplifiers
RC1537	Dual 709 High-Gain Operational Amplifiers
RM1537	Dual 709 High-Gain Operational Amplifiers
RC1458	Dual 741 General Purpose Operational Amplifiers
RM1458	Dual 741 General Purpose Operational Amplifiers
RC1558	Dual 741 General Purpose Operational Amplifiers
RM1558	Dual 741 General Purpose Operational Amplifiers
RM1556,A	High-Performance Operational Amplifiers
RC1556,A	High-Performance Operational Amplifiers
RM2900	Quad Current Mode Single-Supply Operational Amplifiers
RC2900	Quad Current Mode Single-Supply Operational Amplifiers
RM3900	Quad Current Mode Single-Supply Operational Amplifiers
RC3900	Quad Current Mode Single-Supply Operational Amplifiers
RM3301	Quad Current Mode Single-Supply Operational Amplifiers
RC3301	Quad Current Mode Single-Supply Operational Amplifiers
RM3401	Quad Current Mode Single-Supply Operational Amplifiers
RC3401	Quad Current Mode Single-Supply Operational Amplifiers
RM3403A	Total Quad Operational Amplifier
RC3403A	Total Quad Operational Amplifier
RM3503A	Total Quad Operational Amplifier
RC3503A	Total Quad Operational Amplifier
RM4131	High-Gain Operational Amplifier
RC4131	High-Gain Operational Amplifier
RM4136	Quad 741 General Purpose Operational Amplifier
RC4136	Quad 741 General Purpose Operational Amplifier
RM4531	High Slew Rate Operational Amplifier
RC4531	High Slew Rate Operational Amplifier
RM4558	Dual High-Gain Operational Amplifier
RC4558	Dual High-Gain Operational Amplifier
RM4739	Dual Low-Noise Operational Amplifier
RC4739	Dual Low-Noise Operational Amplifier
