# Extracted from
# From  bitsavers.org  bitsavers/components/signetics/_dataBooks/1991_Signetics_Master_Product_Catalog.pdf
N74S189	64 BIT RAM (16 x 4) TS
N74S194	4-BIT SHIFT REGISTER
N74S195	4-BIT PARALLEL SHIFT REGISTER
N74520	DUAL 4-INPUT NAND GATE
N745225	FIFO
N74S240	OCTAL 3-STATE BUFFER
N74S241	OCTAL 3-STATE BUFFER
N74S244	OCTAL 3-STATE DRIVER
N74S251	3-STATE DATA SELECTOR/MUX
N74S253	DUAL 4-TO-1 DATA SELECTOR/MUX
N74S257	QUAD 2-TO-1 DATA SELECTOR/MUX
N74S258	QUAD 2-TO-1 DATA SELECTOR/MUX
N74S260	DUAL 5- INPUT NOR GATE
N74S273	OCTAL D FLIP/FLOP
N74S280	9-BIT ODD/EVEN PARITY GENERATOR CHECKER
N74S301	256-BIT RAM (256 × 1) OC
N74532	QUAD 2-INPUT OR GATE
N74537	QUAD 2-INPUT NAND BUFFER
N74S373	OCTAL 3-STATE LATCH
N74S374	OCTAL D-FLIP/FLOP, 3-STATE
N74S38	QUAD 2-INPUT NAND BUFFER OC
N74S40	DUAL 4-INPUT NAND BUFFER
N74S51	DUAL 2-WIDE 2-INPUT AOI GATE
N74S534	OCTAL D-FLIP/FLOP, 3-STATE
N74564	4-2-3-2 INPUT AOI GATE
N74574	DUAL D-TYPE EDGE-TRIGGER FLIP/FLOP
N74S85	4-BIT MAGNITUDE COMPARATOR
N74S86	QUAD 2-INPUT EXCLUSIVE OR GATE
N7400	QUAD 2-INPUT NAND GATE
N7402	QUAD 2-INPUT NOR GATE
N7403	QUAD 2-INPUT NAND GATE OC
N7404	HEX INVERTER
N7405	HEX INVERTER OC
N7406	HEX INV BUFFER/DRIVER OC
N7407	HEX BUFFER/DRIVER OC
N7408	QUAD 2-INPUT AND GATE
N7410	TRIPLE 3-INPUT NAND GATE
N74121	MONOSTABLE MULTIVIBRATOR
N74123	RETRIG MONOSTABLE MULTI
N74125	QUAD 3-STATE BUS BUFFER
N74126	QUAD 3-STATE BUS BUFFER
N7414	HEX SCHMITT TRIGGER
N74145	BCD TO DEC DECODER/DRVR OC
N74150	16 TO 1 MUX
N74154	4 TO 16 DECODER/DEMUX
N74157	QUAD 2-IN DATA SELECTOR
N74158	QUAD 2-IN DATA SELECTOR
N7416	HEX INV BUFFER/DRIVER OC
N74164	8-BIT SIPO S/R
N74166	8-BIT SHIFT REGISTER
N7417	HEX BUFFER/DRIVER OC
N74174	HEX D-TYPE FLIP/FLOP WITH CLEAR
N74175	QUAD D-TYPE EDGE TRIGGERED FLIP/FLOP
N74192	SYNC DECADE UP/DOWN COUNTER
N74193	SYNC 4-BIT UP/DOWN COUNTER
N74194	4-BIT BIDIRECTIONAL S/R
N74199	8-BIT SHIFT REGISTER
N7420	DUAL 4-INPUT NAND GATE
N7425	DUAL 4-INPUT NOR W/STORAGE
N7426	QUAD 2-INPUT NAND GATE OC
