SG003-2.7	Voltage Reference 2.7V
SG003-3.9	Voltage Reference 3.9V
SG003-4.7	Voltage Reference 4.7V
SG040	Two Channel Video Amplifier
SG101A	Uncompensated Operational-Amplifier
SG103-1.8	Voltage Reference 1.8V
SG103-2.0	Voltage Reference 2.0V
SG103-2.2	Voltage Reference 2.2V
SG103-2.4	Voltage Reference 2.4V
SG103-2.7	Voltage Reference 2.7V
SG103-3.0	Voltage Reference 3.0V
SG103-3.3	Voltage Reference 3.3V
SG103-3.6	Voltage Reference 3.6V
SG103-3.9	Voltage Reference 3.9V
SG103-4.3	Voltage Reference 4.3V
SG103-4.7	Voltage Reference 4.7V
SG103-5.6	Voltage Reference 5.6V
SG103-5.1	Voltage Reference 5.W
SG104	Neg. Adjustable Voltage Regulator
SG105	Pos. Adjustable Voltage Regulator
SG107	Compensated Operational Amplifier
SG109	Pos. Fixed Voltage Regulator 5.0V
SG111	Voltage Comparator
SG117	Pos. Adjustable Voltage Regulator
SG1173	3.5A Power Operational Amplifier
SG117A	Pos. Adjustable Voltage Regulator
SG117AHV	Pos. Adjustable High Voltage Regulator
SG117HV	Pos. Adjustable High Voltage Regulator
SG120-12	Neg. Fixed Voltage Regulator 12V
SG120-15	Neg. Fixed Voltage Regulator 15V
SG120-18	 Neg. Fixed Voltage Regulator 1BV
SG120-20	Neg. Fixed Voltage Regulator 20V
SG120-5	Neg. Fixed Voltage Regulator 5.0V
SG120-5.2	Neg. Fixed Voltage Regulator 5.2V
SG120-8	Neg. Fixed Voltage Regulator B.OV
SG120A-12	Neg. Fixed Voltage Regulator 12V
SG120A-15	Neg. Fixed Voltage Regulator 15V
SG120A-5	Neg. Fixed Voltage Regulator 5.0V
SG137	1.5A Neg. Adjustable Regulator
SG137A	1.5A Neg. Adjustable Regulator
SG138	SA Pos. Adjustable Regulator
SG138A	5A Pos. Adjustable Regulator
SG140-12	Pos. Fixed Voltage Regulator 12V
SG140-15	Pos. Fixed Voltage Regulator 15V
SG140-18	Pos. Fixed Voltage Regulator 1BV
SG140-24	Pos. Fixed Voltage Regulator 24V
SG140-5	Pos. Fixed Voltage Regulator 5.0V
SG140-6	Pos. Fixed Voltage Regulator 6.0V
SG140-8	Pos. Fixed Voltage Regulator B.OV
SG140A-12	Pos. Fixed Voltage Regulator 12V
SG140A-15	Pos. Fixed Voltage Regulator 15V
SG140A-5	Pos. Fixed Voltage Regulator 5.0V
SG143	High Voltage Operational Amplifier
SG1436	High Voltage Operational Amplifier
SG1489	Quad RS-232C Line Receiver
SG1489A	Quad RS-232C Line Receiver
SG1495	4 - Quadrant Multiplier
SG1496	Balanced Modulator/Demodulator
SG150	3A Positive Adjustable Regulator
SG1501A	Fixed Dual Voltage Tracking Regulator
SG1502	Adjustable Dual Voltage Tracking Regulator
SG1503	Precision 2.5V Reference
SG150A	3A Positive Adjustable Regulator
SG1524	Voltage Mode Pulse Width Modulator
SG1524B	Voltage Mode Pulse Width Modulator
SG1526	Voltage Mode Pulse Width Modulator
SG1526B	Voltage Mode Pulse Width Modulator
SG1527A	Voltage Mode Pulse Width Modulator
SG1528	High Speed Current Mode PWM
SG1529	Voltage Mode Pulse Width Modulator
SG1530	High Speed Current Mode PWM
SG1548	Quad Power Fault Monitor
SG1557	Magnetic Amplifier Controller
SG1559	Magnetic Amplifier Controller
SG1560	Magnetic Amplifier Controller
SG1568	Fixed Dual Voltage Tracking Regulator
SG1595	4 - Quadrant Multiplier
SG1596	Balanced Modulator/Demodulator
SG1626	Dual High Speed MOSFET Driver
SG1629	High Current Floating Switch Driver
SG1635A	2A Half - Bridge Driver
SG1644	Dual HigH Speed MOSFET Driver
SG1650	2A Hall - Bridge Driver
SG1731	DC Motor Pulse Width Modulator
SG1825	High Speed Current Mode PWM
SG1840	Programmable, Off-Line PWM Controller
SG1846	Current Mode Pulse Width Modulator
