CXK5816PN,M	2048 word x 8 bit 100/120/150ns SRAM 	MIX CMOS
CXK5864BP,BSP,BM	8192 word x 8 bit 70/100/120ns SRAM	MIX CMOS
CXK5863P,M,J	8192 word x 8 bit 25/30/35ns SRAM	FULL CMOS
CXK5863AP,AJ	8192 word x 8 bit 20/25/ns SRAM 	FULL CMOS
CXK5464AP,4AJ	16384 word x 4 bit 25/30/35ns SRAM 	MIX CMOS
CXK5465P,J	16384 word x 4 bit 25/30/35ns SRAM, with OE 	MIX CMOS
CXK5164P,J	65536 word x 1 bit 25/30/35ns SRAM 	MIX CMOS
CXK5971P,J	8192 word x 9 bit 25/30/35ns SRAM 	FULL CMOS
CXK58257P,SP,M	32768 word x 8 bit 70/85/100/120 SRAM 	MIX CMOS
CXK58258P/CXK58258SP	32768 word x 8 bit 35/ 45/55ns SRAM 	MIX CMOS
CXK58255AP/CXK58255AJ	32768 word x 8 bit 25/30ns SRAM  	FULL CMOS
CXK54256P	65536 word x 4 bit 35/ 45/55ns SRAM 	MIX CMOS
CXK51256P 	262144 word x 1 bit 35/ 45/55ns SRAM 	MIX CMOS
CXK581000P/CXK581000M	131072 word x 8 bit 100/120/150ns SRAM  	MIX CMOS
CXK581001P/CXK581001M	131072 word x 8 bit 70/85ns SRAM  	MIX CMOS
CXK581020SP/CXK581020J	131072 word x 8 bit 45/55ns SRAM (A) 	MIX CMOS
CXK7701J	8192 word X 16 bit / 4096 word X 16 bit X 2 way High-speed latched cache-SRAM	MIX CMOS
