X2201A	1024x1 Static NVRAM 300ns 60mA	18
X2210	64x4 Static NVRAM 300ns 50mA	18
X2210I-5	64x4 Static NVRAM 300ns 50mA	18
X2210I-10	64x4 Static NVRAM 300ns 50mA	18
X2210I	64x4 Static NVRAM 300ns 55mA	18
X2210I-5	64x4 Static NVRAM 300ns 55mA	18
X2210I-10	64x4 Static NVRAM 300ns 55mA	18
X2210M	64x4 Static NVRAM 300ns 55mA	18
X2210M-5	256x4 Static NVRAM 300ns 55mA	18
X2210M-10	256x4 Static NVRAM 300ns 55mA	18
X2212	256x4 Static NVRAM 300ns 60mA	18
X2212-5	256x4 Static NVRAM 300ns 60mA	18
X2212-10	256x4 Static NVRAM 300ns 60mA	18
X2212I	256x4 Static NVRAM 300ns 70mA	18
X2212I-5	256x4 Static NVRAM 300ns 70mA	18
X2212I-10	256x4 Static NVRAM 300ns 70mA	18
X2212M	256x4 Static NVRAM 300ns 70mA	18
X2212M-5	256x4 Static NVRAM 300ns 70mA	18
X2212M-10	256x4 Static NVRAM 300ns 70mA	18
X2001-20	128x8 Byte-wide NVRAM 200ns 80mA 50mA	24
X2001-25	128x8 Byte-wide NVRAM 250ns 80mA 50mA	24
X2001	128x8 Byte-wide NVRAM 300ns 80mA 50mA	24
X2001I-20	128x8 Byte-wide NVRAM 200ns 100mA 65mA	24
X2001I-25	128x8 Byte-wide NVRAM 250ns 100mA 65mA	24
X2001I	128x8 Byte-wide NVRAM 300ns 100mA 65mA	24
X2004-20	512x8 Byte-wide NVRAM 200ns 100mA 55mA	28
X2004-25	512x8 Byte-wide NVRAM 250ns 100mA 55mA	28
X2004	512x8 Byte-wide NVRAM 300ns 100mA 55mA	28
X2004I-20	512x8 Byte-wide NVRAM 200ns 120mA 90mA	28
X2004I-25	512x8 Byte-wide NVRAM 250ns 120mA 90mA	28
X2004I	512x8 Byte-wide NVRAM 300ns 120mA 90mA	28
X2004M-20	512x8 Byte-wide NVRAM 200ns 120mA 90mA	28
X2004M-25	512x8 Byte-wide NVRAM 250ns 120mA 90mA	28
X2004M	512x8 Byte-wide NVRAM 300ns 120mA 90mA	28
X2444	16x16 1 MHz serial NOVRAM 15mA 10mA 7mA	8
X2444I	16x16 1 MHz serial NOVRAM 25mA 15mA 10mA	8
X2444M	16x16 1 MHz serial NOVRAM 25mA 15mA 10mA	8
X2402	256x8 8 B/Pg 100 KHz Serial E2PROM 30mA 25mA	8
X2402I	256x8 8 B/Pg 100 KHz Serial E2PROM 35mA 30mA	8
X2404	512x8 8 B/Pg 100 KHz Serial E2PROM 30mA 25mA	8
X2404I	512x8 8 B/Pg 100 KHz Serial E2PROM 35mA 30mA	8
X2404M	512x8 8 B/Pg 100 KHz Serial E2PROM 35mA 30mA	8
X24C04	512x8 16 B/Pg 100 KHz Serial E2PROM 2mA 60µA	8
X24C04I	512x8 16 B/Pg 100 KHz Serial E2PROM 2mA 60µA	8
X24C16	2048x8 16 B/Pg 100 KHz Serial E2PROM 3mA 75µA	8
X24C16I	2048x8 16 B/Pg 100 KHz Serial E2PROM 3mA 75µA	8
X24C16M	2048x8 16 B/Pg 100 KHz Serial E2PROM 3mA 75µA	8
X2804A·25	512x8 250ns 4K E2PROM 80mA 50mA	24
X2804A	512x8 300ns 4K E2PROM 80mA 50mA	24
X2804A-35	512x8 350ns 4K E2PROM 80mA 50mA	24
X2804A-45	512x8 450ns 4K E2PROM 80mA 50mA	24
X2804AI-25	512x8 250ns 4K E2PROM 100mA 60mA	24
X2804AI	512x8 300ns 4K E2PROM 100mA 60mA	24
X2804AI-35	512x8 350ns 4K E2PROM 100mA 60mA	24
X2804AI-45	512x8 450ns 4K E2PROM 100mA 60mA	24
X2804AM	512x8 300ns 4K E2PROM 100mA 60mA	24
X2804AM-35	512x8 350ns 4K E2PROM 100mA 60mA	24
X2804AM-45	512x8 450ns 4K E2PROM 100mA 60mA	24
X2816A-25	2048x8 110ns 16K E2PROM 110mA 50mA	24
X2816A	2048x8 300ns 16K E2PROM 110mA 50mA	24
X2816A-35	2048x8 350ns 16K E2PROM 110mA 50mA	24
X2816A-45	2048x8 450ns 16K E2PROM 110mA 50mA	24
X2816AI-25	2048x8 250ns 16K E2PROM 140mA 60mA	24
X2816AI	2048x8 300ns 16K E2PROM 140mA 60mA	24
X2816AI-35	2048x8 350ns 16K E2PROM 140mA 60mA	24
X2816AI-45	2048x8 450ns 16K E2PROM 140mA 60mA	24
X2816AM	2048x8 300ns 16K E2PROM 140mA 60mA	24
X2816AM-35	2048x8 350ns 16K E2PROM 140mA 60mA	24
X2816AM-45	2048x8 450ns 16K E2PROM 140mA 60mA	24
X2816B-25	2048x8 16 B/Pg 16K E2PROM 250ns 120mA 60mA	24
X2816B	2048x8 16 B/Pg 16K E2PROM 300ns 120mA 60mA	24
X2816BI-25	2048x8 16 B/Pg 16K E2PROM 250ns 120mA 60mA	24
X2816BI	2048x8 16 B/Pg 16K E2PROM 300ns 140mA 70mA	24
X2816BM-25	2048x8 16 B/Pg 16K E2PROM 250ns 140mA 70mA	24
X2816BM	2048x8 16 B/Pg 16K E2PROM 300ns 140mA 70mA	24
X2864A-25	8192x8 16 B/Pg 250ns 64K E2PROM 140mA 60mA	28
X2864A	8192x8 16 B/Pg 300ns 64K E2PROM 140mA 60mA	28
X2864A-35	8192x8 16 B/Pg 350ns 64K E2PROM 140mA 60mA	28
X2864A-45	8192x8 16 B/Pg 450ns 64K E2PROM 140mA 60mA	28
X2864AI-25	8192x8 16 B/Pg 250ns 64K E2PROM 140mA 70mA	28
X2864AI	8192x8 16 B/Pg 300ns 64K E2PROM 140mA 70mA	28
X2864AI-35	8192x8 16 B/Pg 350ns 64K E2PROM 140mA 70mA	28
X2864AI-45	8192x8 16 B/Pg 450ns 64K E2PROM 140mA 70mA	28
X2864AM-25	8192x8 16 B/Pg 250ns 64K E2PROM 140mA 70mA	28
X2864AM	8192x8 16 B/Pg 300ns 64K E2PROM 140mA 70mA	28
X2864AM-35	8192x8 16 B/Pg 350ns 64K E2PROM 140mA 70mA	28
X2864AM-45	8192x8 16 B/Pg 450ns 64K E2PROM 140mA 70mA	28
X2864AT-35	8192x8 16 B/Pg 350ns 64K E2PROM 110mA 60mA	28
X2864AT-45	8192x8 16 B/Pg 450ns 64K E2PROM 110mA 60mA	28
X2864B-120	8192x8 32 B/Pg 120ns 64K E2PROM 150mA 80mA	28
X2864B-150	8192x8 32 B/Pg 150ns 64K E2PROM 150mA 80mA	28
X2864B-180	8192x8 32 B/Pg 180ns 64K E2PROM 150mA 80mA	28
X2864BI-120	8192x8 32 B/Pg 120ns 64K E2PROM 150mA 80mA	28
X2864BI-150	8192x8 32 B/Pg 150ns 64K E2PROM 150mA 80mA	28
X2864BI-180	8192x8 32 B/Pg 180ns 64K E2PROM 150mA 80mA	28
X2864BM-120	8192x8 32 B/Pg 120ns 64K E2PROM 150mA 80mA	28
X2864BM-150	8192x8 32 B/Pg 150ns 64K E2PROM 150mA 80mA	28
X2864BM-180	8192x8 32 B/Pg 180ns 64K E2PROM 150mA 80mA	28
X2864H-70	8192x8 32 B/Pg 70ns 64K E2PROM 150mA 80mA	28
X2864H-90	8192x8 32 B/Pg 90ns 64K E2PROM 150mA 80mA	28
X2864HI-90	8192x8 32 B/Pg 90ns 64K E2PROM 150mA 80mA	28
X2864HI-90	8192x8 32 B/Pg 90ns 64K E2PROM 150mA 80mA	28
X28256-25	32768x8 64 B/Pg 250ns 256K E2PROM 120mA 60mA	28
